"perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool","perc_households_NG","perc_households_P","perc_households_HO","perc_households_ElecRes","perc_households_wood","perc_positiveNB_cool","perc_positivePrivate_cool","perc_positiveNB_nocool","perc_positivePrivate_nocool","NAME","FIPS","x","y"
0.233,0.03,0,0,1,1,0.899,0.89,1,0.976,0.878,0.73,1,1,1,1,0,1,0,1,0.249478652178685,0.531774777741192,0.0111952584787619,0.0894523103940292,0.10097684118099,0.690550872571617,0.740614861156843,0.577347272527714,0.671881242454176,"Adams County",55001,-89.63764032,44.22615905
0.848,0.343,0,0,1,1,0.926,0.881,1,1,0.873,0.86,1,1,1,1,0,1,0,1,0.395750332005312,0.293050022133687,0.101962520289214,0.0991589198760514,0.0938468348826915,0.829767743839457,0.723760661059466,0.459536520584329,0.538870591707245,"Lafayette County",55065,-90.23758642,42.57331062
0.017,0,0,0,1,1,0.902,0.897,0.983,0.918,0.831,0.475,1,1,1,1,0,1,0,1,0.272785417332907,0.385033578509754,0.0550047969299648,0.138791173648865,0.125999360409338,0.582531819635433,0.700318516149664,0.531800447713463,0.636292932523185,"Pepin County",55091,-92.00226847,44.62808901
0.095,0.005,0,0,1,1,0.884,0.874,0.997,0.932,0.771,0.426,1,1,1,1,0,1,0,1,0.623352799094995,0.145718042009356,0.0364447977497172,0.126608982786559,0.0559818998991042,0.367881004066408,0.365392240193231,0.283522670987862,0.32547393524322,"Wood County",55141,-89.97454616,44.48637322
0.202,0.028,0,0,1,1,0.892,0.889,1,0.976,0.838,0.523,1,1,1,1,0,1,0,1,0.623352799094995,0.145718042009356,0.0364447977497172,0.126608982786559,0.0559818998991042,0.434689087962821,0.381332925673403,0.287130216773168,0.331194851255083,"Wood County",55141,-89.73470787,44.2913077
0.012,0.001,0,0,1,1,0.871,0.863,0.978,0.887,0.746,0.369,1,1,1,1,0,1,0,1,0.621889686589972,0.166709915520572,0.0106968831992619,0.159847764034253,0.0219415852146585,0.344481907562783,0.358609289853819,0.313031975319321,0.329607156243693,"St. Croix County",55109,-92.53139645,44.9856039
0.265,0.025,0,0,1,1,0.898,0.88,1,0.99,0.88,0.826,1,1,1,1,0,1,0,1,0.588359920239282,0.212612163509472,0.0125872382851446,0.0980807577268195,0.077642073778664,0.479195538384846,0.41550535892323,0.300083250249252,0.373218594217348,"Green Lake County",55047,-89.12897223,43.86964332
0.959,0.674,0,0,1,1,0.92,0.904,1,1,0.899,0.79,1,1,1,1,0,1,0,1,0.45744085474434,0.214398371915543,0.0692953446960061,0.161332994149071,0.082065632154668,0.883712490460443,0.835407479012974,0.420876011193081,0.491958076825235,"Grant County",55043,-90.69687473,43.13609052
0.234,0.032,0,0,1,1,0.896,0.871,1,0.978,0.87,0.833,1,1,1,1,0,1,0,1,0.617524165887122,0.0614697016942106,0.0162768942937325,0.275335204240723,0.0189585282195198,0.497582455046253,0.391443010082112,0.344572954994283,0.36139249558258,"La Crosse County",55063,-91.00290528,43.88352841
0.258,0.037,0,0,1,1,0.946,0.913,1,0.987,0.903,0.894,1,1,1,1,0,1,0,1,0.604936155626018,0.15342645756563,0.0249950009998,0.165366926614677,0.0313365898248922,0.499861913331619,0.397182677750164,0.333078841374582,0.35912740309081,"Dodge County",55027,-88.9230246,43.31191933
