NAME,FIPS,x,y
Monroe County,55081,-90.61967952,43.8134385
Monroe County,55081,-90.61967952,43.8134385
Rock County,55105,-88.94358413,42.84085394
Rock County,55105,-88.94358413,42.84085394
Winnebago County,55139,-88.5814621,44.23619711
Winnebago County,55139,-88.5814621,44.23619711
Winnebago County,55139,-88.70417901,43.96369348
Winnebago County,55139,-88.70417901,43.96369348
Marathon County,55073,-90.03449747,45.05516836
Marathon County,55073,-90.03449747,45.05516836
Calumet County,55015,-88.12894398,44.18437078
Calumet County,55015,-88.12894398,44.18437078
Calumet County,55015,-88.30159914,43.944647
Calumet County,55015,-88.30159914,43.944647
Rusk County,55107,-91.37108575,45.35896897
Rusk County,55107,-91.37108575,45.35896897
Dunn County,55033,-92.11349206,45.05003382
Dunn County,55033,-92.11349206,45.05003382
Kenosha County,55059,-88.25700003,42.56008466
Kenosha County,55059,-88.25700003,42.56008466
Sawyer County,55113,-91.5015238,45.74931743
Sawyer County,55113,-91.5015238,45.74931743
Chippewa County,55017,-91.43338527,44.95297171
Chippewa County,55017,-91.43338527,44.95297171
Oneida County,55085,-89.97065254,45.56223685
Oneida County,55085,-89.97065254,45.56223685
Fond du Lac County,55039,-88.29093664,43.69590969
Fond du Lac County,55039,-88.29093664,43.69590969
Walworth County,55127,-88.34015662,42.61802658
Walworth County,55127,-88.34015662,42.61802658
Dunn County,55033,-91.69858741,44.79115719
Dunn County,55033,-91.69858741,44.79115719
Marquette County,55077,-89.51762503,43.9133926
Marquette County,55077,-89.51762503,43.9133926
Shawano County,55115,-88.60045823,44.67326438
Shawano County,55115,-88.60045823,44.67326438
Lincoln County,55069,-89.97426878,45.54368383
Lincoln County,55069,-89.97426878,45.54368383
Waushara County,55137,-89.00121544,44.16239964
Waushara County,55137,-89.00121544,44.16239964
Bayfield County,55007,-91.41721952,46.58246089
Bayfield County,55007,-91.41721952,46.58246089
Columbia County,55021,-89.03709345,43.57440952
Columbia County,55021,-89.03709345,43.57440952
Washburn County,55129,-91.72752556,46.09155719
Washburn County,55129,-91.72752556,46.09155719
Lincoln County,55069,-89.96886784,45.55225717
Lincoln County,55069,-89.96886784,45.55225717
Polk County,55095,-92.63064603,45.45941909
Polk County,55095,-92.63064603,45.45941909
Forest County,55041,-89.01719565,45.95630539
Forest County,55041,-89.01719565,45.95630539
Dunn County,55033,-92.14653949,45.13341522
Dunn County,55033,-92.14653949,45.13341522
Dane County,55025,-89.64225984,43.0488535
Dane County,55025,-89.64225984,43.0488535
Dane County,55025,-89.06343379,43.05286483
Dane County,55025,-89.06343379,43.05286483
Oconto County,55083,-88.2192725,44.67961328
Oconto County,55083,-88.2192725,44.67961328
Oconto County,55083,-88.66922075,45.21233527
Oconto County,55083,-88.66922075,45.21233527
Dunn County,55033,-91.67226912,45.12335594
Dunn County,55033,-91.67226912,45.12335594
St. Croix County,55109,-92.1723712,45.1553112
St. Croix County,55109,-92.1723712,45.1553112
Brown County,55009,-88.22768007,44.65335965
Brown County,55009,-88.22768007,44.65335965
Marinette County,55075,-87.83167145,45.49065496
Marinette County,55075,-87.83167145,45.49065496
Rusk County,55107,-91.53102705,45.56665867
Rusk County,55107,-91.53102705,45.56665867
Crawford County,55023,-91.18158841,43.40522559
Crawford County,55023,-91.18158841,43.40522559
Waushara County,55137,-89.03082136,44.16344126
Waushara County,55137,-89.03082136,44.16344126
Oconto County,55083,-88.18258234,44.89688506
Oconto County,55083,-88.18258234,44.89688506
St. Croix County,55109,-92.14476123,44.86113057
St. Croix County,55109,-92.14476123,44.86113057
Dodge County,55027,-88.53093503,43.43550714
Dodge County,55027,-88.53093503,43.43550714
Fond du Lac County,55039,-88.45185458,43.71159889
Fond du Lac County,55039,-88.45185458,43.71159889
Vilas County,55125,-89.77044159,46.0582522
Vilas County,55125,-89.77044159,46.0582522
Vilas County,55125,-89.41529517,46.04862657
Vilas County,55125,-89.41529517,46.04862657
Waupaca County,55135,-88.73017472,44.61254158
Waupaca County,55135,-88.73017472,44.61254158
Sheboygan County,55117,-87.89092879,43.70945255
Sheboygan County,55117,-87.89092879,43.70945255
Manitowoc County,55071,-87.88408782,43.92354745
Manitowoc County,55071,-87.88408782,43.92354745
Manitowoc County,55071,-87.85160907,43.90244119
Manitowoc County,55071,-87.85160907,43.90244119
Portage County,55097,-89.46007176,44.41670397
Portage County,55097,-89.46007176,44.41670397
Florence County,55037,-88.33953068,45.77735131
Florence County,55037,-88.33953068,45.77735131
Pepin County,55091,-91.87428807,44.63005056
Pepin County,55091,-91.87428807,44.63005056
Rock County,55105,-88.92495245,42.82869893
Rock County,55105,-88.92495245,42.82869893
Polk County,55095,-92.48892939,45.63912746
Polk County,55095,-92.48892939,45.63912746
Sheboygan County,55117,-87.83334065,43.79983182
Sheboygan County,55117,-87.83334065,43.79983182
Jefferson County,55055,-88.94645679,42.955036
Jefferson County,55055,-88.94645679,42.955036
Shawano County,55115,-88.61375586,44.79187015
Shawano County,55115,-88.61375586,44.79187015
Monroe County,55081,-90.60124511,43.83757884
Monroe County,55081,-90.60124511,43.83757884
Marathon County,55073,-90.00300132,44.87057045
Marathon County,55073,-90.00300132,44.87057045
Marathon County,55073,-89.93394635,44.74287068
Marathon County,55073,-89.93394635,44.74287068
Waupaca County,55135,-89.03175228,44.33720056
Waupaca County,55135,-89.03175228,44.33720056
Waupaca County,55135,-89.18547107,44.36673681
Waupaca County,55135,-89.18547107,44.36673681
Waupaca County,55135,-88.88964305,44.42418678
Waupaca County,55135,-88.88964305,44.42418678
Shawano County,55115,-88.60525912,44.68558779
Shawano County,55115,-88.60525912,44.68558779
Polk County,55095,-92.63674018,45.43891976
Polk County,55095,-92.63674018,45.43891976
Douglas County,55031,-92.0102317,46.65111247
Douglas County,55031,-92.0102317,46.65111247
Langlade County,55067,-89.03259115,45.06757572
Langlade County,55067,-89.03259115,45.06757572
Columbia County,55021,-89.08734171,43.55756482
Columbia County,55021,-89.08734171,43.55756482
