NG_cool_NB,NG_cool_NB_capital,NG_cool_NB_MO,NG_cool_NB_emissions,NG_cool_private,NG_cool_CO2e,NG_nocool_NB,NG_nocool_NB_capital,NG_nocool_NB_MO,NG_nocool_NB_emissions,NG_nocool_private,NG_nocool_CO2e,price_change
-359.4955176,-624.19,-43.71410832,308.4085907,-667.9041083,9561.068067,-6417.701299,-6512.98,-43.71410832,138.9928092,-6556.694108,4308.531843,0.14
-323.1819393,-624.19,-12.09954322,313.107604,-636.2895432,9559.556604,-6384.028002,-6512.98,-12.09954322,141.0515413,-6525.079543,4307.02038,0.15
-296.104542,-624.19,19.51502187,308.5704361,-604.6749781,9557.588519,-6354.489898,-6512.98,19.51502187,138.9750798,-6493.464978,4305.052295,0.16
-225.318106,-624.19,-26.4433805,425.3152745,-650.6333805,13025.55837,-6285.529565,-6512.98,-26.4433805,253.8938153,-6539.423381,7773.022141,0.17
-177.163696,-624.19,19.08398413,427.9423198,-605.1060159,13048.65164,-6238.142954,-6512.98,19.08398413,255.7530621,-6493.896016,7796.115421,0.18
-132.2787541,-624.19,64.61134876,427.2998971,-559.5786512,13031.1431,-6193.304705,-6512.98,64.61134876,255.0639458,-6448.368651,7778.606875,0.19
-78.54014801,-624.19,55.64085624,490.0089957,-568.5491438,15250.20135,-6136.069404,-6512.98,55.64085624,321.2697399,-6457.339144,9997.665122,0.2
-19.76179982,-624.19,110.9469532,493.4812469,-513.2430468,15277.66434,-6078.255849,-6512.98,110.9469532,323.7771979,-6402.033047,10025.12811,0.21
31.75199398,-624.19,166.2530502,489.6889437,-457.9369498,15267.09192,-6025.504776,-6512.98,166.2530502,321.222174,-6346.72695,10014.5557,0.22
92.33967706,-624.19,221.5591472,494.9705298,-402.6308528,15293.97853,-5966.629527,-6512.98,221.5591472,324.7913257,-6291.420853,10041.44231,0.23
179.0941289,-624.19,215.1558173,588.1283116,-409.0341827,18087.6822,-5880.40339,-6512.98,215.1558173,417.4207927,-6297.824183,12835.14597,0.24
243.3295943,-624.19,284.158921,583.3606732,-340.031079,18103.04765,-5814.717257,-6512.98,284.158921,414.1038224,-6228.821079,12850.51143,0.25
