"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency"
"53541","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53543","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53544","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53545","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53546","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53548","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53549","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53550","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53551","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53553","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53554","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53555","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53556","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53557","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53558","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53559","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53560","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53561","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53563","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53565","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
