zipcode,totalcost_low,totalcost_high,systemcost_low,systemcost_high,laborcost_low,laborcost_high,jobsupplycost_low,jobsupplycost_high,price_region
53952,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53954,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53955,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53956,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53957,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53958,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53959,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53960,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53961,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53963,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53964,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53965,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53968,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54001,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54002,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54003,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54004,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54005,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54006,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54007,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54009,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54011,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54013,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54014,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54015,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54016,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54017,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54020,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54021,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54022,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54023,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54024,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54025,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54026,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54027,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54028,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54101,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54102,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54103,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
54104,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
