"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53774,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53777,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53782,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53783,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53784,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53785,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53786,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53788,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53790,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53791,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53792,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53793,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53794,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53801,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53803,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53804,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53805,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53806,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53807,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53809,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53810,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53811,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53813,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53816,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53818,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
