"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53575,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53576,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53577,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53578,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53579,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53580,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53581,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53582,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53583,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53585,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53586,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53587,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53588,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53589,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53590,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53594,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53595,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53596,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53597,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53598,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53702,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53703,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53704,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53705,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53706,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53711,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53713,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53714,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53715,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
