"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","SEER","ton","price_region"
53532,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53533,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53534,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53536,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53538,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53541,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53543,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53544,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53545,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53546,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53548,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53549,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53550,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53551,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53553,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53554,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53555,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53556,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53557,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53558,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53559,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53560,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53561,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53563,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53565,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53566,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53569,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53570,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53572,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53573,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53574,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53575,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53576,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53577,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53578,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53579,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53580,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53581,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53582,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53583,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53585,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53586,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53587,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53588,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53589,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53590,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53594,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53595,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53596,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53597,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53598,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53702,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53703,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53704,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53705,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53706,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53711,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53713,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53714,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53715,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53716,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53717,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53718,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53719,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53726,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53774,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53777,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53782,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53783,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53784,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53785,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53786,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53788,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53790,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53791,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53792,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53793,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53794,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53801,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53803,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53804,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53805,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53806,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53807,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53809,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53810,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53811,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53813,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53816,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53818,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53820,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53821,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53825,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53826,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53901,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53910,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53911,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53913,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53916,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53919,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53920,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53922,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
