"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53556,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53557,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53558,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53559,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53560,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53561,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53563,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53565,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53566,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53569,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53570,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53572,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53573,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53574,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53575,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53576,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53577,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53578,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53579,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53580,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53581,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53582,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53583,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53585,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53586,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53587,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53588,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53589,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53590,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53594,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53595,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53596,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53597,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53598,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53702,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53703,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53704,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53705,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53706,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53711,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53713,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53714,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53715,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53716,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53717,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53718,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53719,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53726,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53774,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53777,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53782,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53783,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53784,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53785,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53786,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53788,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53790,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53791,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53792,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53793,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53794,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53801,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53803,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53804,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53805,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53806,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53807,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53809,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53810,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53811,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53813,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53816,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53818,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53820,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53821,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53825,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53826,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53901,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53910,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53911,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53913,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53916,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53919,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53920,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53922,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
