"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53572,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53573,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53574,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53575,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53576,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53577,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53578,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53579,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53580,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53581,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53582,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53583,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53585,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53586,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53587,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53588,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53589,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53590,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53594,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53595,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53596,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53597,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53598,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53702,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53703,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53704,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53705,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53706,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53711,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53713,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53714,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53715,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53716,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53717,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53718,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53719,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53726,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53774,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53777,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53782,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53783,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53784,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53785,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53786,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53788,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53790,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53791,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53792,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53793,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53794,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53801,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
